epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,756.259,0.95184,0.56565,0.90772,0.97423,0.926,0.97751,0.62575,1.24076,0.54437,0.99138,0.0005941,0.0005941,0.0005941
43,774.214,0.94905,0.56663,0.91128,0.97656,0.94429,0.98106,0.74463,0.88406,0.47281,0.91056,0.0005842,0.0005842,0.0005842
44,792.414,0.96714,0.58513,0.91548,0.97427,0.90837,0.97124,0.67315,1.08258,0.54585,0.96263,0.0005743,0.0005743,0.0005743
45,812.656,0.98199,0.56507,0.91605,0.97237,0.94671,0.97949,0.75577,0.86592,0.46815,0.90825,0.0005644,0.0005644,0.0005644
46,830.626,0.91378,0.54018,0.90445,0.96626,0.95475,0.97835,0.68204,1.08867,0.49528,0.95964,0.0005545,0.0005545,0.0005545
47,848.496,0.93496,0.54694,0.90294,0.97305,0.9443,0.97966,0.7378,0.90044,0.46992,0.9171,0.0005446,0.0005446,0.0005446
48,867.641,0.93069,0.5501,0.90762,0.98188,0.94441,0.9822,0.75661,0.857,0.4547,0.90437,0.0005347,0.0005347,0.0005347
49,885.53,0.93943,0.54768,0.90739,0.98145,0.94409,0.9793,0.71123,0.99182,0.4802,0.93135,0.0005248,0.0005248,0.0005248
50,903.861,0.94011,0.55032,0.90849,0.96869,0.95479,0.97721,0.70758,0.98606,0.48709,0.93427,0.0005149,0.0005149,0.0005149
51,922.447,0.97417,0.54763,0.91843,0.96679,0.95546,0.97896,0.70072,1.03675,0.4936,0.937,0.000505,0.000505,0.000505
52,940.468,0.97313,0.55252,0.90956,0.97834,0.94419,0.98103,0.70654,1.01901,0.4774,0.93343,0.0004951,0.0004951,0.0004951
53,959.907,0.93689,0.54183,0.91018,0.96822,0.94897,0.9774,0.65346,1.19516,0.51731,0.97315,0.0004852,0.0004852,0.0004852
54,977.762,0.91339,0.5279,0.90003,0.97243,0.95399,0.97828,0.7591,0.83557,0.44469,0.89789,0.0004753,0.0004753,0.0004753
55,995.802,0.93857,0.54214,0.90684,0.97836,0.94477,0.97611,0.64616,1.2121,0.53492,0.97885,0.0004654,0.0004654,0.0004654
56,1014.92,0.92348,0.5238,0.90503,0.9695,0.94582,0.97638,0.69853,1.01662,0.48686,0.93461,0.0004555,0.0004555,0.0004555
57,1032.66,0.92038,0.5221,0.89887,0.97143,0.95587,0.97818,0.70393,0.98846,0.4782,0.92944,0.0004456,0.0004456,0.0004456
58,1051.72,0.91863,0.51501,0.90645,0.97921,0.94336,0.97684,0.76805,0.82709,0.44226,0.89458,0.0004357,0.0004357,0.0004357
59,1070.15,0.8945,0.51537,0.8983,0.97393,0.95381,0.97902,0.76101,0.84393,0.43971,0.89998,0.0004258,0.0004258,0.0004258
60,1088.11,0.91709,0.51586,0.90239,0.96673,0.95085,0.97654,0.69126,1.05202,0.49654,0.94642,0.0004159,0.0004159,0.0004159
61,1107.26,0.92284,0.51302,0.89803,0.97874,0.94362,0.9759,0.68782,1.06636,0.49121,0.94438,0.000406,0.000406,0.000406
62,1125.48,0.88616,0.50668,0.89714,0.97614,0.95451,0.97648,0.77542,0.77038,0.43874,0.88522,0.0003961,0.0003961,0.0003961
63,1143.41,0.90099,0.51439,0.89852,0.96985,0.94463,0.97651,0.70021,1.02105,0.48733,0.93442,0.0003862,0.0003862,0.0003862
64,1162.63,0.8978,0.50849,0.89888,0.96086,0.95357,0.97217,0.67503,1.10114,0.4989,0.95796,0.0003763,0.0003763,0.0003763
65,1180.5,0.8848,0.49733,0.89419,0.97419,0.9434,0.97694,0.67633,1.08693,0.4973,0.94696,0.0003664,0.0003664,0.0003664
66,1199.16,0.86728,0.48076,0.8912,0.96633,0.94542,0.97325,0.60637,1.32927,0.54368,1.00908,0.0003565,0.0003565,0.0003565
67,1216.88,0.88365,0.49407,0.89221,0.97477,0.9433,0.97508,0.663,1.1691,0.49664,0.97009,0.0003466,0.0003466,0.0003466
68,1234.77,0.88168,0.49712,0.89243,0.97423,0.95122,0.9809,0.76929,0.81052,0.42805,0.89404,0.0003367,0.0003367,0.0003367
69,1254.02,0.88437,0.5018,0.89668,0.96394,0.9595,0.97912,0.75943,0.82759,0.44787,0.89374,0.0003268,0.0003268,0.0003268
70,1271.82,0.86066,0.48452,0.88955,0.96606,0.94865,0.97129,0.61765,1.30924,0.53279,1.00622,0.0003169,0.0003169,0.0003169
71,1289.66,0.85537,0.47832,0.89193,0.96975,0.95184,0.97799,0.75715,0.85012,0.43974,0.90081,0.000307,0.000307,0.000307
72,1309.14,0.85628,0.48611,0.89046,0.96767,0.9546,0.97912,0.73256,0.91209,0.44401,0.91218,0.0002971,0.0002971,0.0002971
73,1326.98,0.8728,0.48344,0.89309,0.96877,0.94827,0.97553,0.72146,0.95579,0.46125,0.92279,0.0002872,0.0002872,0.0002872
74,1345.81,0.86859,0.46957,0.89044,0.97608,0.95153,0.97966,0.77835,0.78787,0.41901,0.88914,0.0002773,0.0002773,0.0002773
75,1364.17,0.86666,0.48118,0.89693,0.98051,0.95166,0.97947,0.75342,0.85536,0.43462,0.90215,0.0002674,0.0002674,0.0002674
76,1381.73,0.85546,0.47381,0.88683,0.98257,0.94744,0.97646,0.75227,0.86793,0.44095,0.9022,0.0002575,0.0002575,0.0002575
77,1400.66,0.84616,0.47126,0.88953,0.96198,0.95797,0.97846,0.6902,1.06232,0.48299,0.94295,0.0002476,0.0002476,0.0002476
78,1418.3,0.83527,0.46267,0.88383,0.97595,0.95632,0.97877,0.74463,0.88054,0.42988,0.90448,0.0002377,0.0002377,0.0002377
79,1436.07,0.8234,0.46724,0.88507,0.97379,0.95254,0.97924,0.79013,0.75404,0.41315,0.88168,0.0002278,0.0002278,0.0002278
80,1455.19,0.85253,0.46927,0.88863,0.97368,0.94602,0.97969,0.74907,0.87113,0.42976,0.90492,0.0002179,0.0002179,0.0002179
